text	label
The production is to be liquidated before June 2009 and 325 employees loose their jobs	negative
The market making in accordance with the agreement will begin on September 24 , 2009	neutral
The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava	neutral
The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said	neutral
MADISON , Wis. , Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office has granted a trademark registration for the color orange on its iconic scissor handles	positive
The combined value of the orders is almost EUR 3mn	neutral
The company plans to close two of the three lines at the plant , where some 450 jobs are under threat	negative
The effect may remain short-lived , however	neutral
The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas	neutral
The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts	neutral
Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market	negative
Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures	neutral
According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 %	neutral
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007	neutral
As a result , a total of 82 employees would be given notice	neutral
The approximately 20,000 dwt vessel has been ordered from India	neutral
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy	neutral
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04	positive
No pricing details were disclosed	neutral
Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results	positive
`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added	negative
However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009	negative
Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint	positive
Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity	neutral
